Architecture,Core_Speed,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Name,Notebook_GPU,Open_GL,PSU,Pixel_Rate,Power_Connector,Process,ROPs,Release_Date,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate,VGA_Connection
Kepler GK110,705 MHz,0,Yes,DX 12.0,0,No,1536KB,Nvidia,225 Watts,5120 MB,168GB/sec,320 Bit,1050 MHz,GDDR5,Tesla K20,No,4.5,650 Watt,N/A,None,28nm,N/A,01-Nov-2012,4096x2160,No,5,N/A,N/A,0
Kepler GK110,706 MHz,0,Yes,DX 12.0,0,No,1536KB,Nvidia,245 Watts,12288 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,Tesla K40c,No,4.5,N/A,34 GPixel/s,None,28nm,48,12-Nov-2013,4096x2160,Yes,5,240,169 GTexel/s,0
RV200,N/A,1,Yes,DX 7,1,No,0KB,AMD,150 Watts,64 MB,5.8GB/sec,128 Bit,360 MHz,DDR,All-in-Wonder Radeon 7500,No,1.4,N/A,N/A,None,N/A,N/A,22-Jan-2002,1600x1200,No,N/A,N/A,N/A,1
GCN 1.1 Oland XT + Kaveri,1050 MHz,1,Yes,DX 12.0,1,No,2304KB(x2),AMD,150 Watts,3072 MB,57.6GB/sec,128 Bit,900 MHz,DDR3,Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,No,4.4,400 Watt & 27 Amps,18 GPixel/s,None,28nm,8 (x2),28-May-2015,2560x1600,Yes,5,28,62 GTexel/s,1
Kepler GK104 x2,N/A,0,Yes,DX 11.1,0,No,0KB,Nvidia,300 Watts,8192 MB,320GB/sec,512 Bit,1250 MHz,GDDR5,Tesla K10,No,4.2,650 Watt,N/A,None,28nm,N/A,15-May-2012,4096x2160,No,5,N/A,N/A,0
Kepler GK110,732 MHz,0,Yes,DX 12.0,0,No,1536KB,Nvidia,235 Watts,6144 MB,249.6GB/sec,384 Bit,1300 MHz,GDDR5,Tesla K20X,No,4.5,N/A,N/A,None,28nm,N/A,12-Nov-2012,4096x2160,Yes,5,N/A,N/A,0
Skylake GT3-E,300 MHz,1,No,DX 12.1,1,Yes,512KB,Intel,28 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Iris i3 6167U,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,01-Sep-2015,4096x2304,No,5,8,8 GTexel/s,N/A
R360,N/A,1,Yes,DX 9,0,No,0KB,AMD,60 Watts,256 MB,23.4GB/sec,256 Bit,730 MHz,DDR,Radeon 9800 XT,No,2,400 Watt & 20 Amps,3 GPixel/s,None,150nm,8,01-Oct-2003,2048x1536,No,2,8,3 GTexel/s,1
Fermi GF100,575 MHz,1,Yes,DX 12.0,0,No,768KB,Nvidia,238 Watts,6144 MB,144GB/sec,384 Bit,750 MHz,GDDR5,Tesla C2070,No,4.5,750 Watt,N/A,None,40nm,N/A,01-Sep-2010,2560x1600,No,5,N/A,N/A,0
Fermi GF100,575 MHz,1,Yes,DX 12.0,0,No,768KB,Nvidia,247 Watts,6144 MB,144GB/sec,384 Bit,750 MHz,GDDR5,Tesla C2075,No,4.5,750 Watt,N/A,None,40nm,N/A,01-Jul-2011,2560x1600,No,5,N/A,N/A,0
NV25 A2,N/A,2,Yes,DX 8.1,0,No,0KB,Nvidia,150 Watts,128 MB,3.6GB/sec,128 Bit,225 MHz,DDR,Quadro4 750 XGL,No,1.5,N/A,1 GPixel/s,None,150nm,4,19-Feb-2002,N/A,No,1.3,8,2 GTexel/s,0
NV28GL A2,N/A,2,Yes,DX 8.1,0,No,0KB,Nvidia,150 Watts,128 MB,5.2GB/sec,128 Bit,325 MHz,DDR,Quadro4 900 XGL,No,1.5,N/A,1 GPixel/s,None,150nm,4,01-Nov-2002,N/A,No,1.3,8,2 GTexel/s,0
Skylake GT3-E,300 MHz,1,No,DX 12.1,1,Yes,512KB,Intel,15 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Iris i5 6360U,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,01-Sep-2015,4096x2304,No,5,8,8 GTexel/s,N/A
NV28,N/A,2,Yes,DX 8.1,0,No,0KB,Nvidia,150 Watts,128 MB,4.4GB/sec,128 Bit,275 MHz,DDR,Quadro4 780 XGL,No,1.5,N/A,1 GPixel/s,1x 6-pin,150nm,4,01-Nov-2002,N/A,No,1.3,8,2 GTexel/s,0
Fermi GF100,575 MHz,1,Yes,DX 12.0,0,No,768KB,Nvidia,238 Watts,3072 MB,144GB/sec,384 Bit,750 MHz,GDDR5,Tesla C2050,No,4.5,750 Watt,N/A,None,40nm,N/A,01-May-2010,2560x1600,No,5,N/A,N/A,0
Skylake GT3-E,300 MHz,1,No,DX 12.1,1,Yes,512KB,Intel,28 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Iris i5 6267U,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,01-Sep-2015,4096x2304,No,5,8,8 GTexel/s,N/A
Skylake GT3-E,300 MHz,1,No,DX 12.1,1,Yes,512KB,Intel,15 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Iris i5 6260U,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,01-Sep-2015,4096x2304,No,5,8,8 GTexel/s,N/A
Haswell GT3,200 MHz,1,No,DX 11.1,1,Yes,512KB,Intel,15 Watts,2048 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Iris i5 4258U,Yes,4,N/A,4 GPixel/s,N/A,22nm,4,02-Jun-2013,2560x1600,No,5,8,9 GTexel/s,N/A
NV18 A4,N/A,2,Yes,DX 8.1,0,No,0KB,Nvidia,150 Watts,64 MB,3.2GB/sec,128 Bit,200 MHz,DDR,Quadro4 580 XGL,No,1.5,N/A,1 GPixel/s,None,150nm,4,01-Nov-2002,N/A,No,1.3,4,1 GTexel/s,0
Broadwell GT3-E,300 MHz,1,No,DX 12.0,1,Yes,1024KB,Intel,47 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Iris i5 5350H,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,02-Jun-2015,4096x2304,No,5,8,8 GTexel/s,N/A
NV17 A3,N/A,2,Yes,DX 8.1,0,No,0KB,Nvidia,150 Watts,64 MB,3.2GB/sec,128 Bit,200 MHz,DDR,Quadro4 550 XGL,No,1.5,N/A,1 GPixel/s,None,150nm,4,19-Feb-2002,N/A,No,1.3,4,1 GTexel/s,0
NV18 A4,N/A,2,Yes,DX 8.1,0,No,0KB,Nvidia,150 Watts,128 MB,4.1GB/sec,128 Bit,256 MHz,DDR,Quadro4 380 XGL,No,1.5,N/A,1 GPixel/s,None,150nm,4,19-Feb-2002,N/A,No,1.3,4,1 GTexel/s,0
NV25 A2,N/A,2,Yes,DX 8.1,0,No,0KB,Nvidia,150 Watts,64 MB,3.6GB/sec,128 Bit,225 MHz,DDR,Quadro4 700 XGL,No,1.5,N/A,1 GPixel/s,None,150nm,4,19-Feb-2002,N/A,No,1.3,8,2 GTexel/s,0
Skylake GT3-E,300 MHz,1,No,DX 12.1,1,Yes,512KB,Intel,28 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Iris i5 6287U,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,01-Sep-2015,4096x2304,No,5,8,9 GTexel/s,N/A
Skylake GT3-E,300 MHz,1,No,DX 12.1,1,Yes,512KB,Intel,15 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Iris i7 6650U,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,01-Sep-2015,4096x2304,No,5,8,8 GTexel/s,N/A
NV17 A3,N/A,2,Yes,DX 8.1,0,No,0KB,Nvidia,150 Watts,128 MB,2.7GB/sec,128 Bit,166 MHz,DDR,Quadro4 500 XGL,No,1.5,N/A,1 GPixel/s,None,150nm,4,19-Feb-2002,N/A,No,1.3,4,1 GTexel/s,0
Skylake GT3-E,300 MHz,1,No,DX 12.1,1,Yes,512KB,Intel,28 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Iris i7 6567U,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,01-Sep-2015,4096x2304,No,5,8,9 GTexel/s,N/A
Skylake GT3-E,300 MHz,1,No,DX 12.1,1,Yes,512KB,Intel,15 Watts,2048 MB,34.1GB/sec,128 Bit,1067 MHz,DDR4,Iris i7 6560U,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,01-Sep-2015,4096x2304,No,5,8,8 GTexel/s,N/A
Broadwell GT3-E,300 MHz,1,No,DX 12.0,1,Yes,1024KB,Intel,47 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Iris i7 5950HQ,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,02-Jun-2015,4096x2304,No,5,8,9 GTexel/s,N/A
Broadwell GT3-E,300 MHz,1,No,DX 12.0,1,Yes,1024KB,Intel,47 Watts,2048 MB,25.6GB/sec,128 Bit,800 MHz,DDR3,Iris i7 5850EQ,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,02-Jun-2015,4096x2304,No,5,8,8 GTexel/s,N/A
Broadwell GT3-E,300 MHz,1,No,DX 12.0,1,Yes,1024KB,Intel,47 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Iris i7 5850HQ,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,02-Jun-2015,4096x2304,No,5,8,9 GTexel/s,N/A
Broadwell GT3-E,300 MHz,1,No,DX 12.0,1,Yes,1024KB,Intel,47 Watts,2048 MB,29.9GB/sec,128 Bit,933 MHz,DDR3,Iris i7 5750HQ,Yes,4.4,N/A,2 GPixel/s,N/A,14nm,2,02-Jun-2015,4096x2304,No,5,8,8 GTexel/s,N/A
Pascal GP102,N/A,1,Yes,DX 12,1,No,0KB(x4),Nvidia,250 Watts,12288 MB,547.2GB/sec,96 Bit,1425 MHz,GDDR5X,GeForce Titan XP,No,4.5,600 Watt & 60 Amps,152 GPixel/s,1x 6-pin + 1x 8-pin,16nm,24 (x4),06-Apr-2017,7680x4320,Yes,5,56,354 GTexel/s,0
Kepler GK110-400-A1,837 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,6144 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan Zotac Edition,No,4.5,600 Watt & 42 Amps,42 GPixel/s,None,28nm,48,19-Feb-2013,4096x2160,Yes,5,224,196 GTexel/s,0
Kepler GK110-430-B1 (x2),705 MHz,2,Yes,DX 12.0,1,No,1536KB(x2),Nvidia,375 Watts,12288 MB,672GB/sec,384 Bit,1750 MHz,GDDR5,GeForce GTX Titan Z Palit 12GB Edition,No,4.5,700 Watt & 42 Amps,84 GPixel/s,2x 8-pin,28nm,48 (x2),28-May-2014,4096x2160,Yes,5,240,420 GTexel/s,0
Kepler GK110B,N/A,2,Yes,DX 11.0,1,No,0KB(x2),Nvidia,375 Watts,12288 MB,672GB/sec,384 Bit,1750 MHz,GDDR5,GeForce GTX Titan Z EVGA Superclocked 12GB Edition,No,4.4,700 Watt & 42 Amps,88 GPixel/s,None,28nm,48 (x2),28-May-2014,4096x2160,Yes,5,240,439 GTexel/s,0
Kepler GK110-430-B1 (x2),705 MHz,2,Yes,DX 12.0,1,No,1536KB(x2),Nvidia,375 Watts,12288 MB,672GB/sec,384 Bit,1750 MHz,GDDR5,GeForce GTX Titan Z,No,4.5,700 Watt & 42 Amps,84 GPixel/s,2x 8-pin,28nm,48 (x2),28-May-2014,4096x2160,Yes,5,240,420 GTexel/s,0
Kepler GK110B,N/A,2,Yes,DX 11.0,1,No,0KB(x2),Nvidia,375 Watts,12288 MB,672GB/sec,384 Bit,1750 MHz,GDDR5,GeForce GTX Titan Z EVGA Hydro Copper 12GB Edition,No,4.4,700 Watt & 42 Amps,90 GPixel/s,None,28nm,48 (x2),28-May-2014,4096x2160,Yes,5,240,452 GTexel/s,0
Maxwell GM200-400-A1,1140 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,12288 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX Titan X EVGA Hybrid 12GB Edition,No,4.5,600 Watt & 42 Amps,120 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,17-Mar-2015,4096x2160,Yes,5,192,240 GTexel/s,0
Kepler GK110-400-A1,902 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,150 Watts,6144 MB,317.2GB/sec,384 Bit,1652 MHz,GDDR5,GeForce GTX Titan Zotac AMP! Edition,No,4.5,N/A,46 GPixel/s,None,28nm,48,01-Apr-2013,4096x2160,Yes,5,224,214 GTexel/s,0
Maxwell GM200-400-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,12288 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX Titan X,No,4.5,600 Watt & 42 Amps,105 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,17-Mar-2015,4096x2160,Yes,5,192,209 GTexel/s,0
Maxwell GM200-400-A1,1127 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,12288 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX Titan X EVGA Superclocked 12GB Edition,No,4.5,600 Watt & 42 Amps,117 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,17-Mar-2015,4096x2160,Yes,5,192,233 GTexel/s,0
Kepler GK110-400-A1,928 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,265 Watts,6144 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan WindForce 3X OC Edition,No,4.5,600 Watt,47 GPixel/s,None,28nm,48,15-May-2013,4096x2160,Yes,5,224,220 GTexel/s,0
Kepler GK110-400-A1 (x2),837 MHz,4,Yes,DX 12.0,2,No,1536KB(x2),Nvidia,500 Watts,12288 MB,576.8GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan SLI,No,4.5,N/A,84 GPixel/s,None,28nm,48 (x2),19-Feb-2013,4096x2160,Yes,5,224,392 GTexel/s,0
Kepler GK110-400-A1,837 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,6144 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan Inno3D Edition,No,4.5,600 Watt & 42 Amps,42 GPixel/s,None,28nm,48,19-Feb-2013,4096x2160,Yes,5,224,196 GTexel/s,0
Kepler GK110-400-A1,837 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,6144 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan Gigabyte Edition,No,4.5,600 Watt & 42 Amps,42 GPixel/s,None,28nm,48,19-Feb-2013,4096x2160,Yes,5,224,196 GTexel/s,0
Kepler GK110-400-A1,937 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,265 Watts,6144 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan iChill Accelero Hybrid Edition,No,4.5,600 Watt,47 GPixel/s,None,28nm,48,15-Mar-2013,4096x2160,Yes,5,224,220 GTexel/s,0
Kepler GK110-400-A1,837 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,6144 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan Asus Edition,No,4.5,600 Watt & 42 Amps,42 GPixel/s,None,28nm,48,19-Feb-2013,4096x2160,Yes,5,224,196 GTexel/s,0
Kepler GK110-430-B1,889 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,6144 MB,336GB/sec,384 Bit,1750 MHz,GDDR5,GeForce GTX Titan Black Edition,No,4.5,600 Watt & 42 Amps,47 GPixel/s,1x 6-pin + 1x 8-pin,28nm,48,18-Feb-2014,4096x2160,Yes,5,240,235 GTexel/s,0
Kepler GK110-400-A1,837 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,6144 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan EVGA Edition,No,4.5,600 Watt & 42 Amps,42 GPixel/s,None,28nm,48,19-Feb-2013,4096x2160,Yes,5,224,196 GTexel/s,0
Kepler GK110-400-A1,837 MHz,2,Yes,DX 12.0,1,No,1536KB,Nvidia,250 Watts,6144 MB,288.4GB/sec,384 Bit,1502 MHz,GDDR5,GeForce GTX Titan,No,4.5,600 Watt & 42 Amps,42 GPixel/s,1x 6-pin + 1x 8-pin,28nm,48,19-Feb-2013,4096x2160,Yes,5,224,196 GTexel/s,0
Terrascale 2,N/A,1,Yes,DX 11,1,No,0KB,AMD,150 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,Radeon HD 7660D + 6670 Dual,No,4.2,N/A,N/A,None,N/A,N/A,01-Jun-2012,2560x1600,No,5,N/A,N/A,1
Terrascale 2,N/A,0,Yes,DX 11,0,No,0KB,AMD,150 Watts,1024 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,Radeon HD 7560D + 6570 Dual,No,4.2,N/A,N/A,None,N/A,N/A,01-Jul-2012,2560x1600,No,5,N/A,N/A,0
Terrascale 3,N/A,0,Yes,DX 11,0,No,0KB,AMD,150 Watts,1024 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,Radeon HD 7660D + 7670 Dual,No,4.2,N/A,N/A,None,N/A,N/A,01-Jun-2012,2560x1600,No,5,N/A,N/A,0
R200,N/A,1,Yes,DX 8.1,1,No,0KB,AMD,150 Watts,64 MB,8.8GB/sec,128 Bit,550 MHz,DDR,Radeon 8500 Series 64MB,No,1.4,N/A,N/A,None,N/A,N/A,02-Jan-2001,2048x1536,No,1.4,N/A,N/A,N/A
R360,N/A,1,Yes,DX 9,0,No,0KB,AMD,47 Watts,128 MB,44.8GB/sec,256 Bit,700 MHz,DDR2,Radeon 9800 Pro,No,2,400 Watt & 20 Amps,3 GPixel/s,None,150nm,8,01-Mar-2003,2048x1536,No,2,8,3 GTexel/s,1
RV360,N/A,1,Yes,DX 9.0,0,No,0KB,AMD,150 Watts,256 MB,4.8GB/sec,128 Bit,300 MHz,DDR,Radeon 9600 PRO PC/Mac Edition,No,2,300 Watt,2 GPixel/s,None,130nm,4,01-Aug-2005,2048x1536,No,2,4,2 GTexel/s,1
RV350,N/A,1,Yes,DX 9,0,No,0KB,AMD,150 Watts,256 MB,3.2GB/sec,128 Bit,200 MHz,DDR,Radeon 9550,No,2,N/A,N/A,None,N/A,N/A,02-Jan-2004,2048x1536,No,2,N/A,N/A,1
RV360,N/A,1,Yes,DX 9.0,0,No,0KB,AMD,18 Watts,128 MB,4.8GB/sec,128 Bit,300 MHz,DDR,Radeon 9600 PRO,No,2,300 Watt,2 GPixel/s,None,130nm,4,01-Oct-2003,2048x1536,No,2,4,2 GTexel/s,1
R300,N/A,1,Yes,DX 9,1,No,0KB,AMD,150 Watts,128 MB,4.3GB/sec,128 Bit,270 MHz,DDR,Radeon 9500 Pro,No,2,N/A,N/A,None,N/A,N/A,24-Oct-2002,2048x1536,No,2,N/A,N/A,N/A
R300,N/A,0,Yes,DX 9,0,No,0KB,AMD,150 Watts,128 MB,4.3GB/sec,128 Bit,270 MHz,DDR,Radeon 9500,No,2,N/A,N/A,None,N/A,N/A,24-Oct-2002,2048x1536,No,2,N/A,N/A,0
RV350,N/A,1,Yes,DX 9,1,No,0KB,AMD,150 Watts,128 MB,6.4GB/sec,128 Bit,400 MHz,DDR,Radeon 9600 Series,No,2,N/A,N/A,None,N/A,N/A,02-Jan-2003,2048x1536,No,2,N/A,N/A,N/A
RV280,N/A,1,Yes,DX 8.1,0,No,0KB,AMD,150 Watts,128 MB,3.2GB/sec,128 Bit,200 MHz,DDR,Radeon 9250,No,1.4,N/A,N/A,None,N/A,N/A,02-Jan-2004,2048x1536,No,1.4,N/A,N/A,1
RV280,N/A,1,Yes,DX 8.1,1,No,0KB,AMD,150 Watts,128 MB,3.2GB/sec,128 Bit,200 MHz,DDR,Radeon 9200 Series,No,1.4,N/A,N/A,None,N/A,N/A,01-Apr-2003,2048x1536,No,1.4,N/A,N/A,N/A
R200,N/A,0,Yes,DX 8.1,0,No,0KB,AMD,28 Watts,64 MB,4GB/sec,128 Bit,250 MHz,DDR,Radeon 9100,No,1.4,N/A,N/A,None,N/A,N/A,01-Apr-2003,N/A,No,1.4,N/A,N/A,1
RV250,N/A,1,Yes,DX 8.1,1,No,0KB,AMD,150 Watts,64 MB,8GB/sec,128 Bit,500 MHz,DDR,Radeon 9000 Series 64MB,No,1.4,N/A,N/A,None,N/A,N/A,01-Aug-2002,2048x1536,No,1.4,N/A,N/A,N/A
GCN 2.0 Hawaii XT GL,N/A,0,Yes,DX 11.2,0,No,1024KB,AMD,290 Watts,16384 MB,320GB/sec,512 Bit,1250 MHz,GDDR5,FirePro W9100,No,4.4,750 Watt & 42 Amps,60 GPixel/s,None,28nm,64,26-Mar-2014,4096x2160,Yes,5,176,164 GTexel/s,0
Tahiti Pro,N/A,0,Yes,DX 11.1,0,No,0KB,AMD,225 Watts,4096 MB,176GB/sec,256 Bit,1375 MHz,GDDR5,FirePro W8000,No,4.2,N/A,N/A,None,N/A,N/A,14-Jun-2012,4096x2160,Yes,5,N/A,N/A,0
Pitcairn LE,N/A,1,Yes,DX 11.1,0,No,0KB,AMD,75 Watts,2048 MB,102.4GB/sec,256 Bit,800 MHz,GDDR5,FirePro W5000,No,4.2,N/A,N/A,None,N/A,N/A,01-Aug-2012,4096x2160,Yes,5,N/A,N/A,0
Tahiti XT,N/A,0,Yes,DX 11.1,0,No,0KB,AMD,274 Watts,6144 MB,264GB/sec,384 Bit,1375 MHz,GDDR5,FirePro W9000,No,4.2,600 Watt & 42 Amps,31 GPixel/s,None,28nm,32,01-Aug-2012,4096x2160,Yes,5,128,125 GTexel/s,0
RV770 XT,N/A,2,Yes,DX 10.1,0,No,0KB,AMD,154 Watts,2048 MB,115.2GB/sec,256 Bit,900 MHz,GDDR5,FirePro V8750,No,3.3,450 Watt,N/A,None,N/A,N/A,28-Jul-2009,2560x1600,Yes,4.1,N/A,N/A,2
Pitcairn XT,N/A,0,Yes,DX 11.1,0,No,0KB,AMD,150 Watts,4096 MB,153.6GB/sec,256 Bit,1200 MHz,GDDR5,FirePro W7000,No,4.2,N/A,30 GPixel/s,None,28nm,32,13-Jun-2012,4096x2160,Yes,5,80,76 GTexel/s,0
Cayman Pro GL,N/A,0,Yes,DX 11,0,No,0KB,AMD,150 Watts,2048 MB,160GB/sec,256 Bit,1250 MHz,GDDR5,FirePro V7900,No,4.1,N/A,N/A,None,N/A,N/A,24-May-2011,2560x1600,Yes,5,N/A,N/A,0
GCN 1.1 Oland PRO,630 MHz,0,Yes,DX 12.0,0,No,512KB,AMD,26 Watts,2048 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,FirePro W2100,No,4.4,350 Watt & 26 Amps,5 GPixel/s,None,28nm,8,12-Aug-2014,4096x2160,No,5,20,14 GTexel/s,0
RV770 XT,N/A,2,Yes,DX 10.1,0,No,0KB,AMD,151 Watts,1024 MB,108.8GB/sec,256 Bit,850 MHz,GDDR5,FirePro V8700,No,3.3,450 Watt,N/A,None,N/A,N/A,11-Sep-2008,2560x1600,Yes,4.1,N/A,N/A,2
